<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
USDRUB_TOD;D;20220711;000000;61.495;61.94;58.8;59.27;1169508000;0
USDRUB_TOD;D;20220712;000000;59;59.5475;57.155;58.7325;1320312000;0
USDRUB_TOD;D;20220713;000000;58.855;59.19;57.87;58.41;1167851000;0
USDRUB_TOD;D;20220714;000000;58.2175;58.645;57.7;58.37;1031264000;0
USDRUB_TOD;D;20220715;000000;58.05;59;56.5;57.315;1180235000;0
USDRUB_TOD;D;20220718;000000;57.2;57.2;56.2;56.4775;1007252000;0
USDRUB_TOD;D;20220719;000000;56.4;56.425;54.8375;55.5375;897940000;0
USDRUB_TOD;D;20220720;000000;55.5;55.5;54.56;54.93;1336306000;0
USDRUB_TOD;D;20220721;000000;55;58.87;54.695;56.54;1510696000;0
USDRUB_TOD;D;20220722;000000;56.9;58.6;56.4;57.25;1225723000;0
USDRUB_TOD;D;20220725;000000;57.5;58.2525;57.01;58.0725;1229914000;0
USDRUB_TOD;D;20220726;000000;58.2;59.7475;58.01;59.395;1401439000;0
USDRUB_TOD;D;20220727;000000;60.71;61.11;59.06;59.915;1274177000;0
USDRUB_TOD;D;20220728;000000;59.75;61.24;59.2175;60.835;1425311000;0
USDRUB_TOD;D;20220729;000000;61.07;62.245;60.485;61.8075;1398227000;0
USDRUB_TOD;D;20220801;000000;61.425;62.6325;59.2825;60.3975;1074984000;0
USDRUB_TOD;D;20220802;000000;60.2;60.4825;59.42;60.2625;881408000;0
USDRUB_TOD;D;20220803;000000;60.05;60.85;59.85;60.435;856191000;0
USDRUB_TOD;D;20220804;000000;60.9;61.0075;60.01;60.35;772279000;0
USDRUB_TOD;D;20220805;000000;60.335;60.61;60.0475;60.4925;743944000;0
USDRUB_TOD;D;20220808;000000;60.73;61.1625;59.9075;60.45;827087000;0
USDRUB_TOD;D;20220809;000000;60.95;60.95;60.015;60.2875;1115496000;0
USDRUB_TOD;D;20220810;000000;60.27;60.55;60.11;60.48;804857000;0
USDRUB_TOD;D;20220811;000000;60.7275;60.735;60.5225;60.68;699094000;0
USDRUB_TOD;D;20220812;000000;60.45;61.0225;60.1825;60.7;1044985000;0
USDRUB_TOD;D;20220815;000000;60.7375;61.665;60.46;61.345;773507000;0
USDRUB_TOD;D;20220816;000000;61.47;61.6925;61.1975;61.4175;781989000;0
USDRUB_TOD;D;20220817;000000;60.9;61.1975;60.06;60.1825;668703000;0
USDRUB_TOD;D;20220818;000000;60.9;60.9;58.8975;59.3525;745167000;0
USDRUB_TOD;D;20220819;000000;59.88;59.88;58.2;58.9125;866742000;0
USDRUB_TOD;D;20220822;000000;58.9125;60.1525;58.9025;59.5525;966148000;0
USDRUB_TOD;D;20220823;000000;60.0975;60.4;59.61;59.745;792328000;0
USDRUB_TOD;D;20220824;000000;60.3825;60.3825;59.715;59.9775;726536000;0
USDRUB_TOD;D;20220825;000000;60.25;60.2525;59.54;60.0125;755205000;0
USDRUB_TOD;D;20220826;000000;60.1;60.345;59.735;60.065;597699000;0
USDRUB_TOD;D;20220829;000000;60.445;60.68;60.07;60.23;889035000;0
USDRUB_TOD;D;20220830;000000;60.305;60.5725;60.2;60.2;632606000;0
USDRUB_TOD;D;20220831;000000;60;60.6375;59.605;60.2525;936614000;0
USDRUB_TOD;D;20220901;000000;60.15;60.45;59.9075;60.18;689478000;0
USDRUB_TOD;D;20220902;000000;60.2975;60.4475;60.17;60.4;681353000;0
