<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
USDRUB_TOD;60;20230109;07:00;71.9525;999
USDRUB_TOD;60;20230109;08:00;71.765;3245
USDRUB_TOD;60;20230109;09:00;71.17;38758
USDRUB_TOD;60;20230109;10:00;71.0225;137003
USDRUB_TOD;60;20230109;11:00;70.75;126396
USDRUB_TOD;60;20230109;12:00;69.7775;250736
USDRUB_TOD;60;20230109;13:00;69.9525;80423
USDRUB_TOD;60;20230109;14:00;69.8425;48315
USDRUB_TOD;60;20230109;15:00;69.67;28416
USDRUB_TOD;60;20230109;16:00;69.755;45865
USDRUB_TOD;60;20230109;17:00;69.8675;18831
USDRUB_TOD;60;20230110;07:00;69.9;1311
USDRUB_TOD;60;20230110;08:00;69.94;2469
USDRUB_TOD;60;20230110;09:00;69.2625;19680
USDRUB_TOD;60;20230110;10:00;69.7125;166796
USDRUB_TOD;60;20230110;11:00;69.46;113542
USDRUB_TOD;60;20230110;12:00;69.495;159789
USDRUB_TOD;60;20230110;13:00;69.6;65384
USDRUB_TOD;60;20230110;14:00;69.58;74108
USDRUB_TOD;60;20230110;15:00;69.61;72719
USDRUB_TOD;60;20230110;16:00;69.69;38486
USDRUB_TOD;60;20230110;17:00;69.94;36960
USDRUB_TOD;60;20230111;07:00;70.2275;1228
USDRUB_TOD;60;20230111;08:00;69.95;3517
USDRUB_TOD;60;20230111;09:00;69.625;9544
USDRUB_TOD;60;20230111;10:00;69.5675;110202
USDRUB_TOD;60;20230111;11:00;69.535;63273
USDRUB_TOD;60;20230111;12:00;69.09;127611
USDRUB_TOD;60;20230111;13:00;68.74;37758
USDRUB_TOD;60;20230111;14:00;68.56;66259
USDRUB_TOD;60;20230111;15:00;68.55;41354
USDRUB_TOD;60;20230111;16:00;68.6;45232
USDRUB_TOD;60;20230111;17:00;68.67;13817
USDRUB_TOD;60;20230112;07:00;68.29;3160
USDRUB_TOD;60;20230112;08:00;68.285;5151
USDRUB_TOD;60;20230112;09:00;68.05;23981
USDRUB_TOD;60;20230112;10:00;67.835;105007
USDRUB_TOD;60;20230112;11:00;67.6;76678
USDRUB_TOD;60;20230112;12:00;67.7025;142584
USDRUB_TOD;60;20230112;13:00;67.77;80304
USDRUB_TOD;60;20230112;14:00;67.75;40614
USDRUB_TOD;60;20230112;15:00;67.7325;41050
USDRUB_TOD;60;20230112;16:00;67.6;31829
USDRUB_TOD;60;20230112;17:00;67.7025;16707
USDRUB_TOD;60;20230113;07:00;67.7825;957
USDRUB_TOD;60;20230113;08:00;67.84;4415
USDRUB_TOD;60;20230113;09:00;67.615;11676
USDRUB_TOD;60;20230113;10:00;67.365;97132
USDRUB_TOD;60;20230113;11:00;67.205;97178
USDRUB_TOD;60;20230113;12:00;67.37;84264
USDRUB_TOD;60;20230113;13:00;67.375;60083
USDRUB_TOD;60;20230113;14:00;68.1;98185
USDRUB_TOD;60;20230113;15:00;68.26;77082
USDRUB_TOD;60;20230113;16:00;68.7425;58417
USDRUB_TOD;60;20230113;17:00;68.45;30097
USDRUB_TOD;60;20230117;06:00;68.8;200
USDRUB_TOD;60;20230117;07:00;68.55;3564
USDRUB_TOD;60;20230117;08:00;68.5125;6732
USDRUB_TOD;60;20230117;09:00;68.525;17047
USDRUB_TOD;60;20230117;10:00;68.725;124834
USDRUB_TOD;60;20230117;11:00;68.4625;159210
USDRUB_TOD;60;20230117;12:00;68.64;63461
USDRUB_TOD;60;20230117;13:00;68.66;69739
USDRUB_TOD;60;20230117;14:00;68.67;54000
USDRUB_TOD;60;20230117;15:00;68.9275;45554
USDRUB_TOD;60;20230117;16:00;69.1625;23918
USDRUB_TOD;60;20230117;17:00;69.0975;10239
USDRUB_TOD;60;20230118;07:00;69.3;6943
USDRUB_TOD;60;20230118;08:00;69.2525;4926
USDRUB_TOD;60;20230118;09:00;69.05;7454
USDRUB_TOD;60;20230118;10:00;69.07;119561
USDRUB_TOD;60;20230118;11:00;68.78;131505
USDRUB_TOD;60;20230118;12:00;68.785;98949
USDRUB_TOD;60;20230118;13:00;68.765;46438
USDRUB_TOD;60;20230118;14:00;68.7975;88462
USDRUB_TOD;60;20230118;15:00;68.9825;39703
USDRUB_TOD;60;20230118;16:00;68.935;37993
USDRUB_TOD;60;20230118;17:00;68.9;11482
USDRUB_TOD;60;20230119;06:00;69.2;2
USDRUB_TOD;60;20230119;07:00;68.88;2594
USDRUB_TOD;60;20230119;08:00;68.8975;2979
USDRUB_TOD;60;20230119;09:00;68.88;4724
USDRUB_TOD;60;20230119;10:00;68.8325;122888
USDRUB_TOD;60;20230119;11:00;68.8075;62999
USDRUB_TOD;60;20230119;12:00;68.8475;49863
USDRUB_TOD;60;20230119;13:00;68.8475;84522
USDRUB_TOD;60;20230119;14:00;68.7725;33243
USDRUB_TOD;60;20230119;15:00;68.8925;50857
USDRUB_TOD;60;20230119;16:00;68.86;38569
USDRUB_TOD;60;20230119;17:00;68.86;12362
USDRUB_TOD;60;20230120;06:00;68.9;32
USDRUB_TOD;60;20230120;07:00;68.75;3623
USDRUB_TOD;60;20230120;08:00;68.7575;2589
USDRUB_TOD;60;20230120;09:00;68.58;21094
USDRUB_TOD;60;20230120;10:00;68.59;118881
USDRUB_TOD;60;20230120;11:00;68.58;93207
USDRUB_TOD;60;20230120;12:00;68.66;80018
